year,team,head_coach,offensive_coordinator,offensive_playcaller,prev_hc_team,prev_oc_team,hc_playcaller,oc_playcaller,hired,oc_hired
2018,BUF,Sean McDermott,Brian Daboll,Brian Daboll,CAR,Alabama,false,true,2017,2018
2018,CAR,Ron Rivera,Norv Turner,Norv Turner,LAC,MIN,false,true,2011,2018
2018,CHI,Matt Nagy,Mark Helfrich,Matt Nagy,KC,Oregon,true,false,2018,2018
2018,CIN,Marvin Lewis,Bill Lazor,Bill Lazor,WAS,CIN,false,true,2003,2017
2018,CLE,Hue Jackson,Todd Haley,Todd Haley,CIN,PIT,false,true,2016,2018
2018,DAL,Jason Garrett,Scott Linehan,Scott Linehan,DAL,DET,false,true,2010,2014
2018,DEN,Vance Joseph,Bill Musgrave,Bill Musgrave,MIA,DEN,false,true,2017,2017
2018,DET,Matt Patricia,Jim Bob Cooter,Jim Bob Cooter,NE,DET,false,true,2018,2015
2018,GB,Mike McCarthy,Joe Philbin,Mike McCarthy,SF,IND,true,false,2006,2018
2018,HOU,Bill O'Brien,NONE,Bill O'Brien,Penn State,,true,false,2014,
2018,IND,Frank Reich,Nick Sirianni,Frank Reich,PHI,LAC,true,false,2018,2018
2018,JAX,Doug Marrone,Nathaniel Hackett,Nathaniel Hackett,JAX,JAX,false,true,2017,2016
2018,KC,Andy Reid,Eric Bieniemy,Andy Reid,PHI,KC,true,false,2013,2018
2018,LAC,Anthony Lynn,Ken Whisenhunt,Ken Whisenhunt,BUF,TEN,false,true,2017,2016
2018,LAR,Sean McVay,NONE,Sean McVay,WAS,,true,false,2017,
2018,LV,Jon Gruden,Greg Olson,Jon Gruden,TB,LAR,true,false,2018,2018
2018,MIA,Adam Gase,Dowell Loggains,Adam Gase,CHI,CHI,true,false,2016,2018
2018,MIN,Mike Zimmer,John DeFilippo,John DeFilippo,CIN,PHI,false,true,2014,2018
2018,NE,Bill Belichick,Josh McDaniels,Josh McDaniels,NYJ,LAR,false,true,2000,2012
2018,NO,Sean Payton,Pete Carmichael Jr.,Sean Payton,DAL,NO,true,false,2006,2009
2018,NYG,Pat Shurmur,Mike Shula,Pat Shurmur,MIN,CAR,true,false,2018,2018
2018,NYJ,Todd Bowles,Jeremy Bates,Jeremy Bates,ARI,NYJ,false,true,2015,2018
2018,PHI,Doug Pederson,Mike Groh,Doug Pederson,KC,PHI,true,false,2016,2018
2018,PIT,Mike Tomlin,Randy Fichtner,Randy Fichtner,MIN,PIT,false,true,2007,2018
2018,SEA,Pete Carroll,Brian Schottenheimer,Brian Schottenheimer,USC,IND,false,true,2010,2018
2018,SF,Kyle Shanahan,NONE,Kyle Shanahan,ATL,,true,false,2017,
2018,TB,Dirk Koetter,Todd Monken,Dirk Koetter,TB,Southern Miss,true,false,2016,2016
2018,TEN,Mike Vrabel,Matt LaFleur,Matt LaFleur,HOU,LAR,false,true,2018,2018
